구분1,구분2,구분3,등급
소화기,복통,급성 중심성 중등도 통증(4-7),3
코질환,코피,"열(아파보임),<3 SIRS 기준 만족",3
일반,경증 호소,"열(아파보임),<3 SIRS 기준 만족",3
정형외과,하지 통증,"열(아파보임),<3 SIRS 기준 만족",3
물질오용,물질오용/중독,비정상 맥박수/맥박압 (혈역학적으로 안정),3
정형외과,하지 통증,출혈성 질환(중등도나 경증의 출혈),3
귀질환,귀손상,경증 호흡곤란,3
피부,"이물질, 피부",급성 말초성 중증 통증 (8-10),3
정형외과,하지 손상,급성 말초성 중증 통증 (8-10),3
일반,수술 후 합병증,"열(아파보임),<3 SIRS 기준 만족",3
호흡기,호흡기 이물질,호흡곤란 없는 연하장애,3
심혈관,"일측성의 홍조 띈
뜨거운 사지",광범위한 염증,3
소화기,구강/식도이물질,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
소화기,구강/식도이물질,"열(아파보임),<3 SIRS 기준 만족",3
피부,물림(Bite),급성 말초성 중증 통증 (8-10),3
피부,열상/천공,경증 호흡곤란,3
소화기,황달,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
산부인과,음순부종,급성 말초성 중증 통증 (8-10),3
비뇨기과,고환 통증/부종,급성 중심성 중등도 통증(4-7),3
신경과,사지약화/뇌졸중 증상,출혈성 질환(중등도나 경증의 출혈),3
소화기,직장내 이물질,경증 호흡곤란,3
심혈관,실신/전-실신,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
정형외과,상지 통증,경증 호흡곤란,3
피부,유방의 발적/압통,급성 말초성 중증 통증 (8-10),3
신경과,발작,경증 호흡곤란,3
호흡기,기침/코막힘,"열(아파보임),<3 SIRS 기준 만족",3
정신건강,환각/망상,"열(아파보임),<3 SIRS 기준 만족",3
신경과,감각상실/이상감각,새로 발병된 감각소실/이상감각,3
일반,고혈당,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
비뇨기과,요로감염 증상,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
"이비인후과-입,인후,경부",경부부종/통증,만성 중심성 중증 통증(8-10),3
피부,화상,5-25% 체표면적의 화상,3
신경과,떨림(Tremor),"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
"이비인후과-입,인후,경부",연하장애/연하곤란,이물질의 가능성,3
피부,"혹,돌기,굳은살","비정상 맥박수/맥박압 (혈역학적으로
안정)",3
정형외과,상지 손상,경증 호흡곤란,3
외상,중증외상-둔상,경증 호흡곤란,3
산부인과,질출혈,"열(아파보임),<3 SIRS 기준 만족",3
정형외과,절단,절단,3
피부,유방의 발적/압통,경증 호흡곤란,3
소화기,직장/회음부 통증,경증 호흡곤란,3
신경과,발작,경증 호흡곤란,3
신경과,착란,경증 호흡곤란,3
"이비인후과-입,인후,경부",연하장애/연하곤란,경증 호흡곤란,3
심혈관,"일측성의 홍조 띈
뜨거운 사지",급성 말초성 중증 통증 (8-10),3
신경과,현훈,"비정상 맥박수/맥박압 (혈역학적으로
안정)",3
심혈관,양측성 다리부기/부종,만성 말초성 중증 통증(8-10),4
피부,기타피부상태,"열(건강해보임), 1SIRS 기준만족(열)",4
소화기,복통,"열(건강해보임), 1SIRS 기준만족(열)",4
"이비인후과-입,인후,경부",경부외상,급성 중심성 경증 통증(<4),4
비뇨기과,핍뇨증,"열(건강해보임), 1SIRS 기준만족(열)",4
신경과,보행장애/운동실조,"열(건강해보임), 1SIRS 기준만족(열)",4
심혈관,양측성 다리부기/부종,만성 말초성 중증 통증(8-10),4
소화기,직장/회음부 통증,"열(건강해보임), 1SIRS 기준만족(열)",4
정형외과,상지 손상,"석고붕대가 꽉 끼어 아프지만, 신경혈관",4
호흡기,알레르기반응,급성 말초성 중등도 통증(4-7),4
심혈관,전신성부종,"부종, 전신성, 정상활력",4
산부인과,음순부종,"열(건강해보임), 1SIRS 기준만족(열)",4
소화기,딸꾹질,"열(건강해보임), 1SIRS 기준만족(열)",4
산부인과,질출혈,급성 중심성 경증 통증(<4),4
피부,스테이플/봉합사제거,급성 말초성 중등도 통증(4-7),4
일반,경증 호소,"열(건강해보임), 1SIRS 기준만족(열)",4
비뇨기과,다뇨증,"열(건강해보임), 1SIRS 기준만족(열)",4
일반,"전문 진료를 위해서
의뢰된 환자",급성 말초성 중등도 통증(4-7),4
산부인과,성폭행,"열(건강해보임), 1SIRS 기준만족(열)",4
신경과,두부손상,"열(건강해보임), 1SIRS 기준만족(열)",4
피부,"이물질, 피부","열(건강해보임), 1SIRS 기준만족(열)",4
환경손상,동상/냉 손상,급성 말초성 중등도 통증(4-7),4
코질환,코외상,급성 말초성 중등도 통증(4-7),4
귀질환,귀손상,봉합이 필요한 열상,4
비뇨기과,혈뇨,만성 중심성 중등도 통증(4-7),4
비뇨기과,요로감염 증상,만성 중심성 중등도 통증(4-7),4
피부,기타피부상태,"열(건강해보임), 1SIRS 기준만족(열)",4
비뇨기과,핍뇨증,급성 중심성 경증 통증(<4),4
비뇨기과,음경부종,"열(건강해보임), 1SIRS 기준만족(열)",4
귀질환,이통(Earache),급성 말초성 중등도 통증(4-7),4
귀질환,"삼출물,귀","열(건강해보임), 1SIRS 기준만족(열)",4
피부,찰과상,급성 말초성 중등도 통증(4-7),4
소화기,딸꾹질,"열(건강해보임), 1SIRS 기준만족(열)",4
소화기,복부종괴/팽만,만성 중심성 중등도 통증(4-7),4
신경과,보행장애/운동실조,"열(건강해보임), 1SIRS 기준만족(열)",4
비뇨기과,혈뇨,"열(건강해보임), 1SIRS 기준만족(열)",4
일반,열,열,4
심혈관,흉통(비 심인성),"열(건강해보임), 1SIRS 기준만족(열)",4
정신건강,기괴한 행동,해를 끼치지 않는 행동,4
피부,쏘임(Sting),"열(건강해보임), 1SIRS 기준만족(열)",4
피부,국소성 부종/발적,급성 말초성 중등도 통증(4-7),4
귀질환,"이물질,귀",급성 말초성 중등도 통증(4-7),4
심혈관,흉통(비 심인성),만성 중심성 중등도 통증(4-7),4
피부,국소성 부종/발적,"열(건강해보임), 1SIRS 기준만족(열)",4
안과,눈부심,급성 중심성 경증 통증(<4),4
정형외과,상지 통증,만성 말초성 중증 통증(8-10),4
호흡기,객혈,"열(건강해보임), 1SIRS 기준만족(열)",4
귀질환,이통(Earache),"열(건강해보임), 1SIRS 기준만족(열)",4
물질오용,물질오용/중독,알려진 저독성 물질,4
귀질환,이명,이명,4
심혈관,"일측성의 홍조 띈
뜨거운 사지",국소성 염증,4
피부,발진,급성 말초성 중등도 통증(4-7),4
비뇨기과,핍뇨증,핍뇨증,4
정형외과,하지 손상,만성 말초성 중증 통증(8-10),4
코질환,"이물질,코","열(건강해보임), 1SIRS 기준만족(열)",4
산부인과,성폭행,급성 중심성 경증 통증(<4),4
정형외과,외상성 등/척추 손상,급성 중심성 경증 통증(<4),4
피부,소양증,급성 말초성 중등도 통증(4-7),4
피부,기타피부상태,"열(건강해보임), 1SIRS 기준만족(열)",4
정형외과,상지 손상,"석고붕대가 꽉 끼어 아프지만, 신경혈관",4
피부,화상,"체표면적의 <5%인 3도 이상의 화상,
혹은 <10%의 2도 화상",4
비뇨기과,핍뇨증,급성 중심성 경증 통증(<4),4
일반,경증 호소,급성 말초성 중등도 통증(4-7),4
정형외과,상지 손상,급성 말초성 중등도 통증(4-7),4
정형외과,하지 통증,"열(건강해보임), 1SIRS 기준만족(열)",4
환경손상,동상/냉 손상,만성 말초성 중증 통증(8-10),4
귀질환,"이물질,귀",급성 말초성 중등도 통증(4-7),4
일반,드레싱교체,"열(건강해보임), 1SIRS 기준만족(열)",4
정형외과,하지 손상,급성 말초성 중등도 통증(4-7),4
피부,화상,"체표면적의 <5%인 3도 이상의 화상,
혹은 <10%의 2도 화상",4
비뇨기과,요로감염 증상,만성 중심성 중등도 통증(4-7),4
안과,눈의 재검(Re-check),급성 말초성 중등도 통증(4-7),4
산부인과,20주 미만의 임신,임신주수<20주,4
정신건강,"환자의 복지에 대한
고려",학대의 병력/징후,4
"이비인후과-입,인후,경부",인후통,"열(건강해보임), 1SIRS 기준만족(열)",4
정신건강,환각/망상,"경증의 불안/ 초조, 안정되어 있음",4
소화기,황달,급성 중심성 경증 통증(<4),4
소화기,항문/직장외상,"열(건강해보임), 1SIRS 기준만족(열)",4
"이비인후과-입,인후,경부",안면외상,"열(건강해보임), 1SIRS 기준만족(열)",4
소화기,구강/식도이물질,급성 중심성 경증 통증(<4),4
호흡기,객혈,"열(건강해보임), 1SIRS 기준만족(열)",4
산부인과,성폭행,>= 12시간; 손상없음,4
일반,창백함/빈혈,"열(건강해보임), 1SIRS 기준만족(열)",4
피부,발진,국소성 연조직염,4
외상,단독 흉부외상-둔상,급성 말초성 중등도 통증(4-7),4
안과,눈의 재검(Re-check),급성 말초성 중등도 통증(4-7),4
안과,"이물질,눈",급성 말초성 중등도 통증(4-7),4
소화기,복부종괴/팽만,만성 중심성 중등도 통증(4-7),4
정형외과,외상성 등/척추 손상,"열(건강해보임), 1SIRS 기준만족(열)",4
피부,"혹,돌기,굳은살",급성 말초성 중등도 통증(4-7),4
안과,"눈충혈,분비물",만성 말초성 중증 통증(8-10),4
코질환,코외상,"열(건강해보임), 1SIRS 기준만족(열)",4
"이비인후과-입,인후,경부",치아/잇몸문제,"활력징후가 정상이며 기저 질환이 없는
잇몸출혈",4
정형외과,하지 손상,"열(건강해보임), 1SIRS 기준만족(열)",4
일반,수술 후 합병증,"정상 활력징후, 통증없음, 일상적인
체크",4
심혈관,실신/전-실신,"정상 활력, 증상회복",4
비뇨기과,"생식기의
분비물/피부병변","열(건강해보임), 1SIRS 기준만족(열)",4
정형외과,상지 손상,만성 말초성 중증 통증(8-10),4
안과,눈부심,급성 중심성 경증 통증(<4),4
외상,중증외상-둔상,급성 중심성 경증 통증(<4),4
정형외과,하지 손상,"하지의 외상, 만성 경증 통증",5
정형외과,상지 통증,만성 말초성 통증(<8),5
안과,눈의 재검(Re-check),눈의 재확인,5
정형외과,석고붕대 확인,급성 말초성 경증 통증(<4),5
비뇨기과,옆구리 통증,만성 중심성 경증 통증(<4),5
코질환,코외상,급성 말초성 경증 통증(<4),5
정형외과,하지 손상,"하지의 외상, 만성 경증 통증",5
피부,화상,"화상, 경증통증",5
비뇨기과,혈뇨,만성 말초성 통증(<8),5
비뇨기과,생식기의 외상,만성 중심성 경증 통증(<4),5
피부,찰과상,급성 말초성 경증 통증(<4),5
정형외과,상지 손상,"상지의 외상, 만성 경증 통증",5
정형외과,관절 부종,급성 말초성 경증 통증(<4),5
일반,반지제거,반지제거,5
피부,유방의 발적/압통,급성 말초성 경증 통증(<4),5
일반,처방전/투약문의,처방전/투약문의,5
소화기,구토/구역,"만성 구토/구역, 정상활력징후",5
정신건강,불면증,만성 불면증,5
비뇨기과,생식기의 외상,만성 중심성 경증 통증(<4),5
호흡기,알레르기반응,코 울혈을 동반한 건초열,5
피부,발진,국소성 발진,5
코질환,코외상,급성 말초성 경증 통증(<4),5
소화기,황달,"황달, 건강해보임",5
귀질환,이통(Earache),급성 말초성 경증 통증(<4),5
비뇨기과,생식기의 외상,"생식기의 외상, 통증없음",5
소화기,직장내 이물질,급성 말초성 경증 통증(<4),5
소화기,딸꾹질,급성 말초성 경증 통증(<4),5
안과,눈의 재검(Re-check),눈의 재확인,5
소화기,"샅고랑부위(Groin)통증/
종괴",만성 중심성 경증 통증(<4),5
정형외과,석고붕대 확인,석고붕대 체크 또는 석고붕대 교환,5
소화기,직장/회음부 통증,만성 말초성 통증(<8),5
산부인과,질내 이물질,급성 말초성 경증 통증(<4),5
피부,유방의 발적/압통,급성 말초성 경증 통증(<4),5
소화기,"샅고랑부위(Groin)통증/
종괴",만성 중심성 경증 통증(<4),5
피부,"혹,돌기,굳은살","혹,돌기,굳은살",5
코질환,코외상,급성 말초성 경증 통증(<4),5
비뇨기과,혈뇨,만성 중심성 경증 통증(<4),5
코질환,"이물질,코",급성 말초성 경증 통증(<4),5
피부,국소성 부종/발적,급성 말초성 경증 통증(<4),5
비뇨기과,생식기의 외상,"생식기의 외상, 통증없음",5
소화기,딸꾹질,"딸국질, 만성, 힘들어 보이지 않음",5
안과,눈의 재검(Re-check),급성 말초성 경증 통증(<4),5
안과,"눈충혈,분비물",급성 말초성 경증 통증(<4),5
정형외과,요통,만성 중심성 경증 통증(<4),5
소화기,구토/구역,"만성 구토/구역, 정상활력징후",5
피부,발진,국소성 발진,5
비뇨기과,소변 배출장애,만성 중심성 경증 통증(<4),5
정형외과,상지 통증,급성 말초성 경증 통증(<4),5
환경손상,동상/냉 손상,만성 말초성 통증(<8),5
안과,눈통증,만성 중심성 경증 통증(<4),5
"이비인후과-입,인후,경부","안면통증(비-외상성/비
-치아성)",만성 말초성 통증(<8),5
비뇨기과,음경부종,음경부종,5
소화기,직장내 이물질,직장내 이물질,5
정형외과,관절 부종,급성 말초성 경증 통증(<4),5
피부,국소성 부종/발적,급성 말초성 경증 통증(<4),5
정신건강,불면증,만성 불면증,5
피부,"혹,돌기,굳은살",급성 말초성 경증 통증(<4),5
소화기,직장/회음부 통증,급성 말초성 경증 통증(<4),5
정형외과,관절 부종,관절 부종,5
정신건강,기괴한 행동,"만성, 비급성 상태",5
소화기,직장/회음부 통증,급성 말초성 경증 통증(<4),5
일반,"전문 진료를 위해서
의뢰된 환자",전문진료를 위해 의뢰된 환자,5
심혈관,양측성 다리부기/부종,만성 말초성 통증(<8),5
안과,눈의 재검(Re-check),급성 말초성 경증 통증(<4),5
정형외과,하지 통증,급성 말초성 경증 통증(<4),5
소화기,변비,단순변비,5
안과,눈의 재검(Re-check),눈의 재확인,5
심혈관,흉통(비 심인성),급성 말초성 경증 통증(<4),5
비뇨기과,고환 통증/부종,만성 중심성 경증 통증(<4),5
